               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.022286,            0.015552,          0.00090114,             0.99995,             0.66667,             0.86719,             0.69512,            0.012931,           0.0057241,          0.00037788,           0.0081433,           0.0081433,           0.0081433
                  98,            0.022648,            0.015401,          0.00080477,                   1,             0.79959,             0.85313,             0.67653,            0.014302,             0.00701,          0.00040245,           0.0081078,           0.0081078,           0.0081078
                  99,            0.021928,            0.014988,          0.00081742,             0.85707,                 0.8,             0.84458,             0.65406,            0.014789,           0.0062826,          0.00041182,           0.0080721,           0.0080721,           0.0080721
                 100,            0.021655,            0.014944,          0.00073145,             0.91665,             0.73316,              0.8656,             0.68684,            0.014397,           0.0052679,          0.00036103,           0.0080362,           0.0080362,           0.0080362
                 101,            0.023049,             0.01518,          0.00080595,             0.87477,             0.93147,             0.92133,             0.71351,            0.014201,           0.0047441,          0.00039827,               0.008,               0.008,               0.008
                 102,            0.021642,            0.014932,          0.00078623,             0.92857,             0.86661,             0.91198,             0.74924,            0.013462,           0.0062329,          0.00036957,           0.0079636,           0.0079636,           0.0079636
                 103,            0.022481,            0.015206,          0.00080783,               0.923,                 0.8,             0.90557,             0.71782,            0.013915,           0.0062791,          0.00038899,            0.007927,            0.007927,            0.007927
                 104,            0.022331,            0.015166,          0.00082023,              0.9283,             0.86667,             0.91622,             0.72181,            0.014859,            0.005645,           0.0004075,           0.0078902,           0.0078902,           0.0078902
                 105,            0.021541,            0.014648,          0.00082842,             0.99992,                 0.8,             0.87943,             0.69649,            0.012347,           0.0059591,           0.0003926,           0.0078532,           0.0078532,           0.0078532
                 106,            0.021416,            0.014353,           0.0007592,             0.92299,                 0.8,             0.84193,             0.64268,            0.015506,           0.0063115,          0.00040384,            0.007816,            0.007816,            0.007816
                 107,             0.02201,            0.014618,          0.00080125,             0.92297,                 0.8,             0.83873,              0.6986,             0.01504,           0.0067075,          0.00043419,           0.0077785,           0.0077785,           0.0077785
                 108,            0.021086,            0.015011,          0.00084148,             0.99987,                 0.8,             0.84584,             0.68996,            0.014391,           0.0055392,          0.00039744,           0.0077409,           0.0077409,           0.0077409
                 109,            0.021817,            0.014441,          0.00078942,             0.91666,             0.73325,             0.82525,             0.67338,            0.014991,           0.0059531,          0.00036154,           0.0077031,           0.0077031,           0.0077031
                 110,            0.021226,            0.014606,          0.00077455,              0.8571,             0.79972,             0.84023,             0.68041,            0.014718,           0.0057658,          0.00035644,           0.0076651,           0.0076651,           0.0076651
                 111,            0.021146,            0.014631,          0.00072634,             0.85705,             0.79941,             0.83251,             0.66351,            0.017367,           0.0061486,          0.00034874,           0.0076269,           0.0076269,           0.0076269
                 112,            0.021332,            0.015078,          0.00069404,                   1,              0.7999,              0.8661,             0.66894,            0.016524,            0.005851,          0.00034578,           0.0075886,           0.0075886,           0.0075886
                 113,            0.020905,            0.014753,          0.00074583,             0.92294,                 0.8,             0.87731,             0.71948,            0.014518,           0.0055889,           0.0003503,           0.0075501,           0.0075501,           0.0075501
                 114,            0.021321,            0.014694,          0.00074692,             0.92845,             0.86515,             0.86878,             0.69976,            0.014624,           0.0056224,          0.00037204,           0.0075114,           0.0075114,           0.0075114
                 115,            0.020568,            0.014631,          0.00079731,             0.92848,             0.86667,             0.90421,             0.67888,            0.015111,           0.0056582,          0.00036292,           0.0074725,           0.0074725,           0.0074725
                 116,            0.020823,            0.014572,          0.00071378,             0.92307,             0.79995,             0.84939,             0.69829,            0.014905,           0.0055754,          0.00037551,           0.0074335,           0.0074335,           0.0074335
                 117,            0.020249,            0.014588,          0.00076762,             0.99979,                 0.8,             0.89368,             0.70667,            0.014273,           0.0054981,          0.00035949,           0.0073943,           0.0073943,           0.0073943
                 118,            0.020326,            0.014326,          0.00064525,             0.93333,             0.93333,             0.93592,             0.73449,            0.014467,           0.0053677,          0.00034779,            0.007355,            0.007355,            0.007355
                 119,            0.020299,            0.013933,          0.00071059,             0.92843,             0.86667,             0.87167,             0.71188,            0.014047,           0.0061818,          0.00037909,           0.0073155,           0.0073155,           0.0073155
